feature_value,contribution
0.6880000000000001,0.2976918620014771
0.6900000000000001,0.30012389023571096
0.6920000000000001,0.3025961321102665
0.6940000000000001,0.3051053792944084
0.695,0.3063728772742193
0.696,0.30764842345740134
0.6960000000000001,0.30764842345740145
0.697,0.3089316168026123
0.698,0.31022205626851024
0.6980000000000001,0.3102220562685104
0.699,0.31151934081375343
0.7,0.3128230693969999
0.7000000000000001,0.31282306939700005
0.701,0.31413284097690763
0.702,0.31544825451213493
0.7020000000000001,0.31544825451213504
0.703,0.3167689089613397
0.704,0.31809440328318
0.705,0.3194243364363142
0.706,0.32075830737940014
0.708,0.32343675847005976
0.71,0.32612654822442383
0.712,0.32882446831175705
0.714,0.3315273104013241
0.716,0.3342318661623899
0.718,0.33693492726421903
0.72,0.33963328537607623
0.722,0.34232373216722645
0.724,0.34500305930693426
0.726,0.3476680584644644
0.728,0.35031552130908167
0.73,0.3529422395100508
0.732,0.35554430960268085
0.734,0.358115047586457
0.736,0.36064707432690934
0.738,0.36313301068956705
0.74,0.3655654775399601
0.742,0.367937095743618
0.744,0.3702404861660705
0.746,0.3724682696728471
0.748,0.3746130671294775
0.75,0.37666749940149147
0.752,0.37862418735441855
0.754,0.3804757518537885
0.756,0.38221481376513083
0.758,0.3838339939539752
0.76,0.3853259132858514
0.762,0.386683192626289
0.764,0.3878984528408176
0.766,0.3889643147949668
0.768,0.38987339935426646
0.77,0.39061832738424607
0.772,0.3911917197504353
0.774,0.3915861973183639
0.776,0.39179438095356145
0.778,0.3918088915215575
0.78,0.3916223498878819
0.782,0.39122737691806425
0.784,0.390616593477634
0.786,0.389782620432121
0.788,0.3887180786470548
0.79,0.3874155889879653
0.792,0.3858677723203817
0.794,0.38406724950983406
0.795,0.3830699173214267
0.796,0.38200664142185187
0.797,0.38087649941930074
0.798,0.3796785689219648
0.799,0.37841192753803493
0.8,0.3770756528757024
0.801,0.3756688225431585
0.802,0.3741905141485944
0.803,0.37263980530020135
0.804,0.37101577360617044
0.805,0.36931749667469305
0.806,0.3675440521139603
0.808,0.3637679705374935
0.81,0.35968014974229967
0.812,0.35527321059390843
0.8140000000000001,0.3505397739578496
0.8160000000000001,0.3454724606996527
0.8180000000000001,0.3400638916848474
0.8200000000000001,0.33430668777896344
0.8220000000000001,0.32819346984753023
0.8240000000000001,0.3217254385846747
0.8260000000000001,0.31493811399891036
0.8280000000000001,0.30787559592734826
0.8300000000000001,0.30058198420709914
0.8320000000000001,0.293101378675274
0.834,0.28547787916898404
0.836,0.27775558552533913
0.838,0.2699785975814505
0.84,0.26219101517442905
0.842,0.25443693814138574
0.844,0.2467604663194312
0.846,0.23920569954567636
0.848,0.23181673765723193
0.85,0.22463768049120894
0.852,0.21771262788471807
0.854,0.21108567967487013
0.856,0.20480093569877597
0.858,0.19890249579354655
0.86,0.19343445979629253
0.862,0.1884409275441248
0.864,0.18396599887415419
0.866,0.18005377362349156
0.868,0.17674835162924768
0.87,0.1740938327285334
0.872,0.17213431675845953
0.874,0.170913903556137
0.876,0.17047669295867648
0.878,0.17086678480318893
0.88,0.17212827892678512
0.882,0.1743052751665758
0.884,0.17744187335967193
0.886,0.18158217334318433
0.888,0.18677027495422371
0.89,0.19305027802990105
0.892,0.20046628240732708
0.894,0.20906238792361262
0.895,0.21381675980792483
0.896,0.21888269441586852
0.897,0.2242657042270825
0.898,0.22997130172120567
0.899,0.23600499937787683
0.9,0.24237230967673482
0.901,0.24907874509741848
0.902,0.25612981811956675
0.903,0.2635310412228185
0.904,0.27128792688681247
0.905,0.2794059875911875
0.906,0.2878907358155826
0.908,0.30598234474298813
0.91,0.3256068535061398
0.912,0.3468083619421485
0.914,0.36963096988812494
0.916,0.39409495645507014
0.918,0.42012531784954577
0.92,0.4476232295520033
0.922,0.4764898670428947
0.924,0.5066264058026714
0.926,0.5379340213117851
0.928,0.5703138890506875
0.93,0.6036671844998304
0.932,0.6378950831396654
0.934,0.6728987604506442
0.936,0.7085793919132182
0.9380000000000001,0.7448381530078397
0.9400000000000001,0.7815762192149598
0.9420000000000001,0.8186947660150306
0.9440000000000001,0.8560949688885032
0.9460000000000001,0.8936780033158301
0.9480000000000001,0.931345044777462
0.9500000000000001,0.9689972687538517
0.9520000000000001,1.0065358507254498
0.9540000000000001,1.0438619661727089
0.9560000000000001,1.0808767905760803
0.9580000000000001,1.1174814994160152
0.96,1.1535772681729641
0.962,1.189065272327382
0.964,1.2238466873597191
0.966,1.2578226887504271
0.968,1.2908944519799572
0.97,1.3229631525287617
0.972,1.3539299658772912
0.974,1.3836960675059988
0.976,1.4121626328953352
0.978,1.439230837525752
0.98,1.464801856877702
0.982,1.4887768664316359
0.984,1.5110570416680054
0.986,1.5315435580672623
0.988,1.5501375911098587
0.99,1.5667403162762457
0.992,1.5812529090468754
0.994,1.5935765449021995
0.995,1.598886621324263
0.996,1.603612399322669
0.9961111111111111,1.604100881364392
0.9972222222222222,1.6085768401065321
0.998,1.6112616477887363
0.9983333333333333,1.6122975523312797
0.9994444444444444,1.6152460728192348
1.0,1.6164254657808526
1.0005555555555554,1.6174054563509963
1.0016666666666665,1.6187587577071616
1.002,1.61900502877947
1.0027777777777778,1.619289031668331
