Original_Index,Actual_Values,Predicted_Values
83,4.137,3.116481374416559
84,1.123,0.8469892873094582
85,0.809,1.7149549662011836
86,1.101,3.0380212122594545
87,3.338,2.9209639602393236
88,4.172,3.7763234036593705
89,1.675,1.6197436722181664
90,4.35,4.268773060322069
91,2.752,2.2531471348479672
92,2.763,2.991489847826795
93,2.057,2.4960565345214274
94,1.195,1.5437167503919307
95,1.308,1.8771846076653602
96,3.721,3.811857118533746
97,2.263,2.260356234083011
98,1.178,2.7113467971674625
99,1.109,1.376289736485423
100,2.622,1.7511307073044406
101,4.286,4.230560278621319
102,2.635,3.3926108709556324
103,4.288,3.2118734973893774
104,2.233,3.1640878500996115
105,0.904,1.9675935806791638
106,5.012,5.111474102315286
107,0.505,3.556517416336777
108,1.198,1.5575235677117414
109,4.249,2.4839968488540634
110,3.279,2.9423127326187735
111,2.277,1.4929680815970152
112,0.801,1.6956667133787091
113,3.404,2.3132667768137773
114,3.245,2.0675486873493285
115,0.768,1.6131182419461245
116,4.159,4.474099298151518
117,2.449,3.155393920823706
118,3.775,3.0401869401985984
119,3.843,2.103321370206632
120,2.885,3.3304924791008146
121,1.09,2.148975911764458
122,1.532,1.7079011152049048
123,2.256,4.006605948137366
124,7.839,7.333686845461898
125,3.765,3.4744816852955585
126,2.174,3.3746612282945327
127,2.831,3.525394020893677
128,1.695,1.52551154718422
129,2.757,1.805893056131296
130,1.869,1.7068737139540586
131,0.755,1.7830693670464548
132,1.258,1.431593619885624
133,1.212,1.3324783026455806
134,1.97,2.337925410863807
135,1.615,2.410702589724722
136,1.005,1.477517114041699
137,2.594,2.8501284125599575
138,1.493,2.3008440496606664
139,1.569,1.540090179751298
140,4.084,4.477445895542986
141,3.489,3.390685965237353
142,1.552,2.8032732124656614
143,4.614,4.0952505018120915
144,4.465,4.4304801353829575
145,3.459,3.1936822488306564
146,1.099,1.4849823679062046
147,2.041,1.4717857868510003
148,2.39,3.6653359799572636
149,5.868,5.157415660653585
150,3.657,3.0703964532753374
151,1.459,1.5338366590341104
152,2.509,1.3113226490466996
153,3.43,3.7400847375791275
154,6.934,5.000494417041997
155,1.776,1.6896667133787093
156,1.666,2.1996990380965022
157,1.974,1.5985517479998617
158,4.269,3.849899336835538
159,4.73,3.620386704252785
160,2.718,2.9828020446093935
161,2.818,3.2886235076437123
162,1.567,1.9420371178649176
163,3.229,2.939253836765639
164,3.179,4.842047656837745
165,2.787,3.5225046922583747
166,4.299,4.051174466383338
167,0.913,1.6737787071626913
168,1.623,3.206928957489996
169,2.821,4.446468110228264
170,8.6,7.546082885626864
171,1.519,0.9511572486889147
