name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id
KPbF3,161,3,10,-2.755849809,4.236,0.004149765,7744984
KPbF3,11,3,20,-2.721017864,3.463,0.03898171,8537835
KPbF3,62,3,20,-2.719273424,3.425,0.04072615,8990435
KPbF3,140,3,10,-2.711964364,3.023,0.04803521,8232139
NaIn2GaF6,225,4,10,-2.514797865,3.036,0.024135243,5446525
RbPbF3,140,3,10,-2.711966136,3.026,0.029277481,8313658
RbPbF3,221,3,5,-2.722344065,2.841,0.018899552,1891340
RbPbF3,65,3,5,-2.689749547,2.687,0.05149407,8267187
LiTl2SbF6,225,4,10,-2.406920424,3.434,0.077570897,6410871
KTl2IrF6,87,4,10,-2.081334442,1.822,0.029904042,8289399
KTl2IrF6,225,4,10,-2.048137747,1.736,0.063100737,6451460
KTl2RuF6,225,4,10,-2.127938018,1.293,0.064812675,6411069
CsPbF3,62,3,20,-2.764894791,3.058,0.000677323,8531910
CsPbF3,62,3,20,-2.765572114,2.941,0.0,9699375
CsPbF3,140,3,10,-2.729225548,2.906,0.036346566,8877646
CsPbF3,221,3,5,-2.759789749,2.714,0.005782365,43384
KTl2AsF6,225,4,10,-2.327894446,3.11,0.022007869,8314172
LiTl2BiF6,225,4,10,-2.477967789,4.249,0.03036747,8307315
RbTl2AsF6,225,4,10,-2.292077936,2.619,0.067351166,8307285
YTl2InF6,139,4,10,-2.837605801,1.337,0.072338421,8712100
KTl2MoF6,225,4,10,-2.390265276,0.822,0.045722951,5450451
KTl2MoF6,225,4,10,-2.418666391,0.817,0.017321835,9660349
NaTl2SbF6,14,4,20,-2.442011621,3.344,0.01361615,6844391
NaTl2SbF6,14,4,20,-2.4420133,3.344,0.013614471,6845543
NaTl2SbF6,1,4,20,-2.404070433,3.041,0.051557338,6873937
NaTl2SbF6,1,4,20,-2.404175279,3.04,0.051452492,6904166
NaTl2SbF6,225,4,10,-2.410249245,3.033,0.045378526,5450231
LiCrIn2F6,166,4,10,-2.499732633,1.253,0.052160655,8256044
LiCrIn2F6,225,4,10,-2.511351324,1.092,0.040541964,5441006
HgPbC2O6,148,4,10,-1.388399132,2.024,0.015841195,8314409
KIn2GaF6,225,4,10,-2.512022489,3.599,0.052484971,8229270
NaTl2BiF6,225,4,10,-2.465552727,3.938,0.014958639,7842428
RbIn2GaF6,225,4,10,-2.456471158,3.811,0.094161811,8307378
MgInF3,12,3,10,-2.986343839,2.874,0.063189082,8274347
MgInF3,140,3,10,-2.981628063,2.866,0.067904858,8276821
MgInF3,221,3,5,-2.961625487,2.848,0.087907434,8213296
MgInF3,123,3,5,-2.968242803,2.84,0.081290118,8252176
MgInF3,65,3,5,-2.980192045,2.823,0.069340876,8252315
MgInF3,127,3,10,-2.968718254,2.766,0.080814667,8274374
LiVIn2F6,225,4,10,-2.569769616,1.905,0.072315674,6359201
